Dataset,Model,Split,Train_Accuracy,Validation_Accuracy,Parameters
spam,SVM,80/20,0.923603,0.905236,"{""C"": 0.005}"
spam,SVM,80/20,0.927516,0.903495,"{""C"": 0.1}"
spam,SVM,80/20,0.929743,0.903496,"{""C"": 1}"
spam,SVM,80/20,0.929635,0.903279,"{""C"": 2}"
spam,SVM,80/20,0.929961,0.902627,"{""C"": 5}"
spam,SVM,80/20,0.929635,0.902844,"{""C"": 10}"
spam,SVM,80/20,0.929580,0.903061,"{""C"": 100}"
spam,SVM,50/50,0.923603,0.905236,"{""C"": 0.005}"
spam,SVM,50/50,0.927516,0.903495,"{""C"": 0.1}"
spam,SVM,50/50,0.929743,0.903496,"{""C"": 1}"
spam,SVM,50/50,0.929635,0.903279,"{""C"": 2}"
spam,SVM,50/50,0.929961,0.902627,"{""C"": 5}"
spam,SVM,50/50,0.929635,0.902844,"{""C"": 10}"
spam,SVM,50/50,0.929580,0.903061,"{""C"": 100}"
spam,SVM,20/80,0.923603,0.905236,"{""C"": 0.005}"
spam,SVM,20/80,0.927516,0.903495,"{""C"": 0.1}"
spam,SVM,20/80,0.929743,0.903496,"{""C"": 1}"
spam,SVM,20/80,0.929635,0.903279,"{""C"": 2}"
spam,SVM,20/80,0.929961,0.902627,"{""C"": 5}"
spam,SVM,20/80,0.929635,0.902844,"{""C"": 10}"
spam,SVM,20/80,0.929580,0.903061,"{""C"": 100}"
spam,LOGREG,80/20,0.868343,0.852859,"{""C"": 0.0001, ""solver"": ""liblinear""}"
spam,LOGREG,80/20,0.918496,0.901541,"{""C"": 0.01, ""solver"": ""liblinear""}"
spam,LOGREG,80/20,0.931156,0.912191,"{""C"": 1, ""solver"": ""liblinear""}"
spam,LOGREG,80/20,0.932732,0.905235,"{""C"": 100, ""solver"": ""liblinear""}"
spam,LOGREG,80/20,0.932406,0.904148,"{""C"": 10000, ""solver"": ""liblinear""}"
spam,LOGREG,50/50,0.868343,0.852859,"{""C"": 0.0001, ""solver"": ""liblinear""}"
spam,LOGREG,50/50,0.918496,0.901541,"{""C"": 0.01, ""solver"": ""liblinear""}"
spam,LOGREG,50/50,0.931156,0.912191,"{""C"": 1, ""solver"": ""liblinear""}"
spam,LOGREG,50/50,0.932732,0.905235,"{""C"": 100, ""solver"": ""liblinear""}"
spam,LOGREG,50/50,0.932406,0.904148,"{""C"": 10000, ""solver"": ""liblinear""}"
spam,LOGREG,20/80,0.868343,0.852859,"{""C"": 0.0001, ""solver"": ""liblinear""}"
spam,LOGREG,20/80,0.918496,0.901541,"{""C"": 0.01, ""solver"": ""liblinear""}"
spam,LOGREG,20/80,0.931156,0.912191,"{""C"": 1, ""solver"": ""liblinear""}"
spam,LOGREG,20/80,0.932732,0.905235,"{""C"": 100, ""solver"": ""liblinear""}"
spam,LOGREG,20/80,0.932406,0.904148,"{""C"": 10000, ""solver"": ""liblinear""}"
spam,RF,80/20,0.996414,0.920014,"{""max_features"": ""sqrt"", ""n_estimators"": 10}"
spam,RF,80/20,0.999457,0.928272,"{""max_features"": ""sqrt"", ""n_estimators"": 100}"
spam,RF,80/20,0.999457,0.930663,"{""max_features"": ""sqrt"", ""n_estimators"": 1000}"
