Dataset,Model,Split,Train_Accuracy,Validation_Accuracy,Test_Accuracy,Parameters
iris,SVM,80/20,0.971667,0.973333,1.000000,"{'C': 5}"
iris,SVM,50/50,0.971667,0.973333,0.920000,"{'C': 5}"
iris,SVM,20/80,0.971667,0.973333,0.941667,"{'C': 5}"
iris,LOGREG,80/20,0.976667,0.960000,1.000000,"{'C': 10000, 'solver': 'liblinear'}"
iris,LOGREG,50/50,0.976667,0.960000,0.960000,"{'C': 10000, 'solver': 'liblinear'}"
iris,LOGREG,20/80,0.976667,0.960000,0.916667,"{'C': 10000, 'solver': 'liblinear'}"
iris,RF,80/20,1.000000,0.966667,1.000000,"{'max_features': 'sqrt', 'n_estimators': 1000}"
iris,RF,50/50,1.000000,0.966667,0.946667,"{'max_features': 'sqrt', 'n_estimators': 1000}"
iris,RF,20/80,0.998333,0.966667,0.916667,"{'max_features': 'sqrt', 'n_estimators': 100}"
iris,KNN,80/20,1.000000,0.933333,0.900000,"{'n_neighbors': 1}"
iris,KNN,50/50,1.000000,0.933333,0.880000,"{'n_neighbors': 1}"
iris,KNN,20/80,1.000000,0.933333,0.858333,"{'n_neighbors': 15}"
iris,ANN,80/20,1.000000,0.960000,1.000000,"{'hidden_layer_sizes': (256,), 'solver': 'lbfgs'}"
iris,ANN,50/50,1.000000,0.953333,0.973333,"{'hidden_layer_sizes': (128,), 'solver': 'lbfgs'}"
iris,ANN,20/80,1.000000,0.953333,0.925000,"{'hidden_layer_sizes': (128,), 'solver': 'lbfgs'}"
BCW,SVM,80/20,0.987701,0.964866,0.964912,"{'C': 100}"
BCW,SVM,50/50,0.987701,0.964866,0.961404,"{'C': 100}"
BCW,SVM,20/80,0.987701,0.964866,0.949561,"{'C': 100}"
BCW,LOGREG,80/20,0.989017,0.978932,0.964912,"{'C': 1, 'solver': 'liblinear'}"
BCW,LOGREG,50/50,0.989017,0.978932,0.968421,"{'C': 1, 'solver': 'liblinear'}"
BCW,LOGREG,20/80,0.989017,0.978932,0.971491,"{'C': 1, 'solver': 'liblinear'}"
BCW,RF,80/20,0.996924,0.963158,0.964912,"{'max_features': 'sqrt', 'n_estimators': 10}"
BCW,RF,50/50,1.000000,0.961357,0.940351,"{'max_features': 'sqrt', 'n_estimators': 1000}"
BCW,RF,20/80,1.000000,0.963142,0.932018,"{'max_features': 'sqrt', 'n_estimators': 100}"
BCW,KNN,80/20,1.000000,0.952523,0.929825,"{'n_neighbors': 1}"
BCW,KNN,50/50,1.000000,0.952523,0.936842,"{'n_neighbors': 1}"
BCW,KNN,20/80,1.000000,0.952523,0.945175,"{'n_neighbors': 1}"
BCW,ANN,80/20,1.000000,0.963127,0.973684,"{'hidden_layer_sizes': (128,), 'solver': 'lbfgs'}"
BCW,ANN,50/50,1.000000,0.966636,0.964912,"{'hidden_layer_sizes': (128,), 'solver': 'lbfgs'}"
BCW,ANN,20/80,1.000000,0.964881,0.962719,"{'hidden_layer_sizes': (256,), 'solver': 'lbfgs'}"
mushroom,SVM,80/20,1.000000,0.968729,1.000000,"{'C': 100}"
mushroom,SVM,50/50,1.000000,0.968729,1.000000,"{'C': 100}"
mushroom,SVM,20/80,1.000000,0.968729,1.000000,"{'C': 100}"
mushroom,LOGREG,80/20,1.000000,0.959114,1.000000,"{'C': 10000, 'solver': 'saga'}"
mushroom,LOGREG,50/50,1.000000,0.946182,1.000000,"{'C': 100, 'solver': 'liblinear'}"
mushroom,LOGREG,20/80,1.000000,0.946182,1.000000,"{'C': 100, 'solver': 'liblinear'}"
mushroom,RF,80/20,0.999969,0.954576,1.000000,"{'max_features': 'sqrt', 'n_estimators': 10}"
mushroom,RF,50/50,1.000000,0.936473,1.000000,"{'max_features': 'sqrt', 'n_estimators': 10}"
mushroom,RF,20/80,1.000000,0.940044,1.000000,"{'max_features': 'sqrt', 'n_estimators': 10}"
mushroom,KNN,80/20,1.000000,0.943861,1.000000,"{'n_neighbors': 1}"
mushroom,KNN,50/50,1.000000,0.943861,1.000000,"{'n_neighbors': 1}"
